Database,Pathway,Observed_Overlap,Mean_Random_Overlap,Empirical_P_Value,FDR_q_val,Contributing_Proteins
GO_Biological_Process,GOBP_CELL_ACTIVATION,7,2.3306,0.0038996100389961006,0.8148374351754013,"COMP, F2, FERMT3, FLNA, GP1BB, PTGDS, VWF"
GO_Biological_Process,GOBP_MONOATOMIC_ION_HOMEOSTASIS,4,0.7103,0.003999600039996,0.8148374351754013,"F2, FLNA, GP1BB, SLC4A1"
GO_Biological_Process,GOBP_MEGAKARYOCYTE_DEVELOPMENT,2,0.0982,0.003999600039996,0.8148374351754013,"FLNA, GP1BB"
GO_Biological_Process,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,3,0.3621,0.004399560043995601,0.8696822625429764,"CD36, F2, GNAI2"
GO_Biological_Process,GOBP_FATTY_ACID_METABOLIC_PROCESS,3,0.3984,0.0044995500449955,0.8696822625429764,"APOC3, CD36, PTGDS"
GO_Biological_Process,GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT,2,0.125,0.005099490050994901,0.9375599025463308,"CD36, FLNA"
GO_Biological_Process,GOBP_REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS,2,0.125,0.005099490050994901,0.9375599025463308,"CD36, FLNA"
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS,3,0.4191,0.0052994700529947,0.9511286966541441,"APOC3, FLNA, SLC4A1"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,2,0.1272,0.005699430056994301,0.9798420157984201,"F2, FLNA"
GO_Biological_Process,GOBP_PLATELET_AGGREGATION,3,0.3902,0.006099390060993901,0.9798420157984201,"COMP, FERMT3, FLNA"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,2,0.1324,0.006099390060993901,0.9798420157984201,"F2, FLNA"
GO_Biological_Process,GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,3,0.4294,0.006299370062993701,0.9798420157984201,"F2, FLNA, STOM"
