TimePoint,N,r,p_value_raw,CI_95_lower,CI_95_upper,p_value_FDR
baseline,20,-0.6735041285972728,0.0011328641455583988,-0.8597795399666505,-0.32904686655848947,0.0015104855274111985
3min,20,-0.8046364058472991,1.890597968071387e-05,-0.9196874413645731,-0.5623450367274496,7.562391872285549e-05
1hr,20,-0.631777955608696,0.0028069810764886605,-0.8395773136868544,-0.26269394035083,0.0028069810764886605
2hrs,20,-0.7602864370339925,0.00010001365023288394,-0.9000083379303089,-0.4788751709607261,0.00020002730046576788
