Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Insulin-like growth factor 2,Concentration/ml,delta_time2_vs_time1,20,17,0.23588838927620942,"[-0.24, 0.62]",0.33093987558412685,0.9859192804439811,False
CD109 antigen,Concentration/ml,delta_time2_vs_time1,20,17,-0.06089286781686297,"[-0.50, 0.40]",0.8044163480660762,0.990774006958089,False
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Concentration/ml,delta_time2_vs_time1,20,17,-0.05302373024798194,"[-0.50, 0.41]",0.8293111184470229,0.990774006958089,False
Dedicator of cytokinesis protein 4,Concentration/ml,delta_time2_vs_time1,20,17,0.03931113569663104,"[-0.42, 0.48]",0.8730534056787392,0.9926311476947687,False
Complement factor H-related protein 2,Concentration/ml,delta_time2_vs_time1,20,17,0.23290832457406635,"[-0.25, 0.62]",0.33726316435653936,0.9859192804439811,False
Selenoprotein P,Concentration/ml,delta_time2_vs_time1,20,17,-0.31403769922121505,"[-0.67, 0.16]",0.1904161092159796,0.9859192804439811,False
Adipocyte plasma membrane-associated protein,Concentration/ml,delta_time2_vs_time1,20,17,-0.1527086425138379,"[-0.57, 0.32]",0.5325424064955436,0.9859192804439811,False
Immunoglobulin heavy constant alpha 2,Concentration/ml,delta_time2_vs_time1,20,17,0.013665996008903138,"[-0.44, 0.46]",0.9557187317151008,0.9926311476947687,False
Lactotransferrin,Concentration/ml,delta_time2_vs_time1,20,17,0.14851909838212177,"[-0.33, 0.56]",0.5439766028409752,0.9859192804439811,False
Alpha-enolase,Concentration/ml,delta_time2_vs_time1,20,17,0.016541353383458697,"[-0.44, 0.47]",0.9464134831941631,0.9926311476947687,False
Immunoglobulin heavy constant gamma 1,Concentration/ml,delta_time2_vs_time1,20,17,0.0616634087286873,"[-0.40, 0.50]",0.8019879315241081,0.990774006958089,False
Collectin-10,Concentration/ml,delta_time2_vs_time1,20,17,-0.03241342897977518,"[-0.48, 0.43]",0.8951987131277962,0.9926311476947687,False
Lysosome-associated membrane glycoprotein 1,Concentration/ml,delta_time2_vs_time1,20,17,0.036359129312901604,"[-0.42, 0.48]",0.8825207996219815,0.9926311476947687,False
Cathelicidin antimicrobial peptide,Concentration/ml,delta_time2_vs_time1,20,17,-0.10047955251935958,"[-0.53, 0.37]",0.682330746363514,0.9859192804439811,False
Fibroblast growth factor-binding protein 2,Concentration/ml,delta_time2_vs_time1,20,17,-0.1454365172516065,"[-0.56, 0.33]",0.552459793544636,0.9859192804439811,False
Lymphatic vessel endothelial hyaluronic acid receptor 1,Concentration/ml,delta_time2_vs_time1,20,17,0.01055173403545135,"[-0.45, 0.46]",0.9658032788381533,0.9926311476947687,False
Haptoglobin,Concentration/ml,delta_time2_vs_time1,20,17,-0.13082706766917304,"[-0.55, 0.34]",0.5934445024749015,0.9859192804439811,False
Tenascin-X,Concentration/ml,delta_time2_vs_time1,20,17,0.16816097307217007,"[-0.31, 0.58]",0.49135204424255174,0.9859192804439811,False
Zinc finger protein 512B,Concentration/ml,delta_time2_vs_time1,20,17,0.3693106912408004,"[-0.10, 0.71]",0.11968250907543893,0.9859192804439811,False
Immunoglobulin lambda variable 3-19,Concentration/ml,delta_time2_vs_time1,20,17,-0.02575438326330514,"[-0.47, 0.43]",0.9166486113967123,0.9926311476947687,False
Complement C1q subcomponent subunit B,Concentration/ml,delta_time2_vs_time1,20,17,0.20374155358715929,"[-0.28, 0.60]",0.4028030343689504,0.9859192804439811,False
Ubiquitin-ribosomal protein eS31 fusion protein,Concentration/ml,delta_time2_vs_time1,20,17,0.09496560631906328,"[-0.38, 0.53]",0.6989641793973325,0.986548896261085,False
Kinesin-like protein KIF21A,Concentration/ml,delta_time2_vs_time1,20,17,0.21009360981320702,"[-0.27, 0.61]",0.38797237116496364,0.9859192804439811,False
Attractin,Concentration/ml,delta_time2_vs_time1,20,17,0.1969695217062859,"[-0.28, 0.60]",0.41894832401747784,0.9859192804439811,False
Immunoglobulin lambda variable 1-44,Concentration/ml,delta_time2_vs_time1,20,17,0.11991791193444162,"[-0.35, 0.54]",0.624845420952454,0.9859192804439811,False
Immunoglobulin heavy variable 1-46,Concentration/ml,delta_time2_vs_time1,20,17,-0.12004593941038706,"[-0.54, 0.35]",0.6244731542157759,0.9859192804439811,False
Fibulin-1,Concentration/ml,delta_time2_vs_time1,20,17,0.06173135201754435,"[-0.40, 0.50]",0.8017738862564087,0.990774006958089,False
Secreted phosphoprotein 24,Concentration/ml,delta_time2_vs_time1,20,17,0.42628896619100315,"[-0.03, 0.74]",0.06876233705941968,0.9859192804439811,False
Scavenger receptor class B member 1,Concentration/ml,delta_time2_vs_time1,20,17,0.12790873347633133,"[-0.35, 0.55]",0.6017801734163923,0.9859192804439811,False
Immunoglobulin lambda variable 2-18,Concentration/ml,delta_time2_vs_time1,20,17,0.2423941954193435,"[-0.24, 0.63]",0.3173796665923291,0.9859192804439811,False
Collagen alpha-2(VI) chain,Concentration/ml,delta_time2_vs_time1,20,17,0.12725695259515515,"[-0.35, 0.55]",0.603648393167242,0.9859192804439811,False
Adiponectin,Concentration/ml,delta_time2_vs_time1,20,17,0.4015641495258438,"[-0.06, 0.72]",0.0883550234790746,0.9859192804439811,False
Nidogen-1,Concentration/ml,delta_time2_vs_time1,20,17,0.03817238792757449,"[-0.42, 0.48]",0.8767036018458201,0.9926311476947687,False
Alpha-1-antitrypsin,Concentration/ml,delta_time2_vs_time1,20,17,-0.06832629206621275,"[-0.51, 0.40]",0.7810639845060068,0.990774006958089,False
"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",Concentration/ml,delta_time2_vs_time1,20,17,0.02976866197744221,"[-0.43, 0.48]",0.9037104253971278,0.9926311476947687,False
Complement C1s subcomponent,Concentration/ml,delta_time2_vs_time1,20,17,0.15778479521846459,"[-0.32, 0.57]",0.5188384474572674,0.9859192804439811,False
Alpha-actinin-4,Concentration/ml,delta_time2_vs_time1,20,17,-0.31471192881569277,"[-0.67, 0.16]",0.18941464759338392,0.9859192804439811,False
Complement component C1q receptor,Concentration/ml,delta_time2_vs_time1,20,17,-0.4008692162611587,"[-0.72, 0.07]",0.08895902394684141,0.9859192804439811,False
Inter-alpha-trypsin inhibitor heavy chain H3,Concentration/ml,delta_time2_vs_time1,20,17,0.38267042393320233,"[-0.09, 0.71]",0.10587252375564789,0.9859192804439811,False
Immunoglobulin kappa variable 1D-8,Concentration/ml,delta_time2_vs_time1,20,17,0.1696759367935413,"[-0.31, 0.58]",0.4873993588646901,0.9859192804439811,False
Low-density lipoprotein receptor,Concentration/ml,delta_time2_vs_time1,20,17,0.37355382246514096,"[-0.10, 0.71]",0.11516475619028901,0.9859192804439811,False
Prolactin-inducible protein,Concentration/ml,delta_time2_vs_time1,20,17,0.23839570815531017,"[-0.24, 0.62]",0.3256740676941241,0.9859192804439811,False
Hyaluronan-binding protein 2,Concentration/ml,delta_time2_vs_time1,20,17,-0.07326438553359173,"[-0.51, 0.39]",0.7656480987220236,0.990774006958089,False
N-acetylmuramoyl-L-alanine amidase,Concentration/ml,delta_time2_vs_time1,20,17,-0.017131130276348806,"[-0.47, 0.44]",0.9445056265024858,0.9926311476947687,False
Serpin A11,Concentration/ml,delta_time2_vs_time1,20,17,0.22074714660416186,"[-0.26, 0.61]",0.3637904957574576,0.9859192804439811,False
C4b-binding protein alpha chain,Concentration/ml,delta_time2_vs_time1,20,17,0.061990637060073246,"[-0.40, 0.50]",0.8009571714796033,0.990774006958089,False
Inter-alpha-trypsin inhibitor heavy chain H2,Concentration/ml,delta_time2_vs_time1,20,17,-0.0784911248942992,"[-0.51, 0.39]",0.7494225983788727,0.990774006958089,False
Fibrillin-1,Concentration/ml,delta_time2_vs_time1,20,17,-0.032078535426393405,"[-0.48, 0.43]",0.8962759213152085,0.9926311476947687,False
Golgi-associated RAB2 interactor protein 1B,Concentration/ml,delta_time2_vs_time1,20,17,0.040656564966621025,"[-0.42, 0.49]",0.8687438707695884,0.9926311476947687,False
Neurogenic locus notch homolog protein 3,Concentration/ml,delta_time2_vs_time1,20,17,-0.13132168972700065,"[-0.55, 0.34]",0.5920364845180169,0.9859192804439811,False
Immunoglobulin heavy constant alpha 1,Concentration/ml,delta_time2_vs_time1,20,17,0.06968833118306164,"[-0.40, 0.51]",0.7768038559325342,0.990774006958089,False
Apolipoprotein C-III,Concentration/ml,delta_time2_vs_time1,20,17,0.011079986259559148,"[-0.45, 0.46]",0.9640923115533725,0.9926311476947687,False
Glutathione peroxidase 3,Concentration/ml,delta_time2_vs_time1,20,17,-0.17201203560060718,"[-0.58, 0.31]",0.48133497868870034,0.9859192804439811,False
Contactin-1,Concentration/ml,delta_time2_vs_time1,20,17,-0.14817274224115007,"[-0.56, 0.33]",0.544926822689393,0.9859192804439811,False
Stomatin,Concentration/ml,delta_time2_vs_time1,20,17,0.6228470479553411,"[0.24, 0.84]",0.004392662906437226,0.7584664618448277,False
Immunoglobulin heavy variable 3-13,Concentration/ml,delta_time2_vs_time1,20,17,0.24527642113419887,"[-0.24, 0.63]",0.3114796445586655,0.9859192804439811,False
Immunoglobulin heavy variable 1-69-2,Concentration/ml,delta_time2_vs_time1,20,17,-0.3624605244783826,"[-0.70, 0.11]",0.1272397285817764,0.9859192804439811,False
Apolipoprotein E,Concentration/ml,delta_time2_vs_time1,20,17,0.288114463738593,"[-0.19, 0.66]",0.23162818274033956,0.9859192804439811,False
Mucosal addressin cell adhesion molecule 1,Concentration/ml,delta_time2_vs_time1,20,17,-0.09496560631906328,"[-0.53, 0.38]",0.6989641793973325,0.986548896261085,False
Protein S100-A11,Concentration/ml,delta_time2_vs_time1,20,17,0.018113336514068972,"[-0.44, 0.47]",0.9413289552496513,0.9926311476947687,False
Complement factor H-related protein 4,Concentration/ml,delta_time2_vs_time1,20,17,0.12332681745737498,"[-0.35, 0.55]",0.6149632270951055,0.9859192804439811,False
