Time Point,Sex,N,Mean Shift (Mean - Median nm),Median Shift (nm),Wilcoxon_W,p_value_raw,p_value_FDR,Significant
Baseline,Male,10,13.009999999999994,14.899999999999991,1.0,0.00390625,0.004464285714285714,True
Baseline,Female,10,14.059999999999997,12.350000000000009,1.0,0.00390625,0.004464285714285714,True
3 min,Male,10,13.729999999999995,15.449999999999996,3.0,0.009765625,0.009765625,True
3 min,Female,10,13.670000000000005,11.549999999999997,1.0,0.00390625,0.004464285714285714,True
1 hour,Male,10,26.619999999999997,21.650000000000006,0.0,0.001953125,0.00390625,True
1 hour,Female,10,14.509999999999996,13.649999999999999,0.0,0.001953125,0.00390625,True
2 hours,Male,10,19.57999999999999,15.199999999999996,0.0,0.001953125,0.00390625,True
2 hours,Female,10,13.030000000000001,14.299999999999997,0.0,0.001953125,0.00390625,True
