Protein,Effect,N,p_value_raw,Partial_Eta_Squared,p_value_FDR
Immunoglobulin lambda-like polypeptide 1,Group,20,0.208,0.087,0.3613953488372093
Immunoglobulin lambda-like polypeptide 1,TimePoint,20,0.765,0.014,0.8945198237885462
Inhibin beta C chain,TimePoint:Group,20,0.021,0.203,0.8057777777777778
Inhibin beta C chain,Group,20,0.068,0.173,0.16853588516746412
Inhibin beta C chain,TimePoint,20,0.053,0.157,0.3493488372093023
Mannose-binding protein C,TimePoint:Group,20,0.649,0.02,0.8762056555269923
Mannose-binding protein C,Group,20,0.076,0.165,0.18058715596330274
Mannose-binding protein C,TimePoint,20,0.504,0.034,0.7701238938053097
IgGFc-binding protein,TimePoint:Group,20,0.508,0.033,0.8330219435736678
IgGFc-binding protein,Group,20,0.395,0.04,0.553
IgGFc-binding protein,TimePoint,20,0.2,0.088,0.5974659090909091
Macrophage mannose receptor 1,TimePoint:Group,20,0.317,0.062,0.8057777777777778
Macrophage mannose receptor 1,Group,20,0.063,0.179,0.16155445544554456
Macrophage mannose receptor 1,TimePoint,20,0.543,0.032,0.7841944444444444
Aromatase,TimePoint:Group,20,0.878,0.006,0.9565588235294117
Aromatase,Group,20,0.785,0.004,0.8633333333333334
Aromatase,TimePoint,20,0.017,0.216,0.23800000000000002
Cadherin-5,TimePoint:Group,20,0.05,0.166,0.8057777777777778
Cadherin-5,Group,20,0.01,0.314,0.04886792452830189
Cadherin-5,TimePoint,20,0.343,0.056,0.7035826771653543
Immunoglobulin kappa variable 1-8,TimePoint:Group,20,0.68,0.02,0.883950248756219
Immunoglobulin kappa variable 1-8,Group,20,0.032,0.232,0.1055796178343949
Immunoglobulin kappa variable 1-8,TimePoint,20,0.935,0.003,0.9525500982318271
Retinol-binding protein 4,TimePoint:Group,20,0.459,0.039,0.8268076923076922
Retinol-binding protein 4,Group,20,0.431,0.035,0.5754072164948454
Retinol-binding protein 4,TimePoint,20,0.05,0.166,0.3453333333333334
Complement component C8 beta chain,TimePoint:Group,20,0.739,0.014,0.9049692671394799
Complement component C8 beta chain,Group,20,0.162,0.105,0.30294584837545124
Complement component C8 beta chain,TimePoint,20,0.031,0.186,0.33869230769230774
Tumor necrosis factor receptor superfamily member 1B,TimePoint:Group,20,0.028,0.183,0.8057777777777778
Tumor necrosis factor receptor superfamily member 1B,Group,20,0.059,0.184,0.15672820512820512
Tumor necrosis factor receptor superfamily member 1B,TimePoint,20,0.001,0.455,0.0518
Formin-2,TimePoint:Group,20,0.844,0.009,0.9463030303030303
Formin-2,Group,20,0.594,0.016,0.7239811764705881
Formin-2,TimePoint,20,0.42,0.047,0.735
Scavenger receptor cysteine-rich domain-containing protein DMBT1,TimePoint:Group,20,0.471,0.037,0.8268076923076922
Scavenger receptor cysteine-rich domain-containing protein DMBT1,Group,20,0.054,0.191,0.1487872340425532
Scavenger receptor cysteine-rich domain-containing protein DMBT1,TimePoint,20,0.509,0.033,0.7732023460410558
Apolipoprotein L1,TimePoint:Group,20,0.112,0.115,0.8057777777777778
Apolipoprotein L1,Group,20,0.65,0.012,0.7687214611872146
Apolipoprotein L1,TimePoint,20,0.797,0.012,0.8978666666666667
Leucine-rich alpha-2-glycoprotein,TimePoint:Group,20,0.337,0.056,0.8057777777777778
Leucine-rich alpha-2-glycoprotein,Group,20,0.931,0.001,0.9549663366336634
Leucine-rich alpha-2-glycoprotein,TimePoint,20,0.168,0.099,0.5507848101265823
Immunoglobulin heavy variable 1-2,TimePoint:Group,20,0.713,0.018,0.8942711864406779
Immunoglobulin heavy variable 1-2,Group,20,0.134,0.12,0.27008560311284047
Immunoglobulin heavy variable 1-2,TimePoint,20,0.038,0.171,0.3453333333333333
Ras-related protein Rab-10,TimePoint:Group,20,0.639,0.017,0.8710578947368421
Ras-related protein Rab-10,Group,20,0.916,0.001,0.945195219123506
Ras-related protein Rab-10,TimePoint,20,0.117,0.124,0.4662
Immunoglobulin heavy variable 1-24,TimePoint:Group,20,0.108,0.117,0.8057777777777778
Immunoglobulin heavy variable 1-24,Group,20,0.004,0.373,0.0259
Immunoglobulin heavy variable 1-24,TimePoint,20,0.768,0.014,0.8945198237885462
Annexin A3,TimePoint:Group,20,0.691,0.019,0.8859851485148514
Annexin A3,Group,20,0.526,0.023,0.6678137254901961
Annexin A3,TimePoint,20,0.137,0.107,0.5033049645390071
Hemoglobin subunit beta,TimePoint:Group,20,0.835,0.009,0.9461084598698482
Hemoglobin subunit beta,Group,20,0.372,0.045,0.5308076923076923
Hemoglobin subunit beta,TimePoint,20,0.05,0.157,0.3453333333333334
Immunoglobulin lambda variable 4-69,TimePoint:Group,20,0.214,0.082,0.8057777777777778
Immunoglobulin lambda variable 4-69,Group,20,0.134,0.12,0.27008560311284047
Immunoglobulin lambda variable 4-69,TimePoint,20,0.354,0.056,0.71
Elongation factor 2,TimePoint:Group,20,0.38,0.051,0.8057777777777778
Elongation factor 2,Group,20,0.372,0.044,0.5308076923076923
Elongation factor 2,TimePoint,20,0.891,0.005,0.9324
Multiple inositol polyphosphate phosphatase 1,TimePoint:Group,20,0.341,0.058,0.8057777777777778
Multiple inositol polyphosphate phosphatase 1,Group,20,0.363,0.046,0.5223166666666667
Multiple inositol polyphosphate phosphatase 1,TimePoint,20,0.034,0.176,0.33869230769230774
Collagen alpha-1(VI) chain,TimePoint:Group,20,0.471,0.035,0.8268076923076922
Collagen alpha-1(VI) chain,Group,20,0.065,0.176,0.16504901960784316
Collagen alpha-1(VI) chain,TimePoint,20,0.743,0.011,0.8827385321100918
Hepatocyte growth factor activator,TimePoint:Group,20,0.849,0.005,0.9463461538461538
Hepatocyte growth factor activator,Group,20,0.031,0.232,0.10427272727272727
Hepatocyte growth factor activator,TimePoint,20,0.927,0.002,0.9481341222879685
Fibrinogen beta chain,TimePoint:Group,20,0.119,0.112,0.8057777777777778
Fibrinogen beta chain,Group,20,0.101,0.143,0.2274695652173913
Fibrinogen beta chain,TimePoint,20,0.008,0.236,0.18836363636363637
Hemicentin-1,TimePoint:Group,20,0.487,0.035,0.8268076923076922
Hemicentin-1,Group,20,0.06,0.182,0.15776649746192892
Hemicentin-1,TimePoint,20,0.805,0.008,0.8978666666666667
C-type mannose receptor 2,TimePoint:Group,20,0.42,0.047,0.8057777777777778
C-type mannose receptor 2,Group,20,0.003,0.395,0.02252173913043478
C-type mannose receptor 2,TimePoint,20,0.867,0.007,0.922422131147541
Platelet glycoprotein Ib beta chain,TimePoint:Group,20,0.453,0.041,0.8268076923076922
Platelet glycoprotein Ib beta chain,Group,20,0.024,0.251,0.0894388489208633
Platelet glycoprotein Ib beta chain,TimePoint,20,0.001,0.538,0.0518
Complement C2,TimePoint:Group,20,0.998,0.001,0.999
Complement C2,Group,20,0.373,0.044,0.5308076923076923
Complement C2,TimePoint,20,0.09,0.127,0.43166666666666664
Annexin A2,TimePoint:Group,20,0.38,0.052,0.8057777777777778
Annexin A2,Group,20,0.035,0.224,0.11054878048780489
Annexin A2,TimePoint,20,0.562,0.03,0.7968142076502731
Protein disulfide-isomerase A3,TimePoint:Group,20,0.595,0.019,0.8647843137254903
Protein disulfide-isomerase A3,Group,20,0.027,0.244,0.09514285714285714
Protein disulfide-isomerase A3,TimePoint,20,0.284,0.065,0.6656651583710407
Dipeptidyl peptidase 4,TimePoint:Group,20,0.21,0.084,0.8057777777777778
Dipeptidyl peptidase 4,Group,20,0.001,0.652,0.010791666666666668
Dipeptidyl peptidase 4,TimePoint,20,0.033,0.187,0.33869230769230774
Proteasome subunit alpha type-4,TimePoint:Group,20,0.306,0.061,0.8057777777777778
Proteasome subunit alpha type-4,Group,20,0.825,0.003,0.8876929460580912
Proteasome subunit alpha type-4,TimePoint,20,0.551,0.024,0.7898784530386741
Coagulation factor XI,TimePoint:Group,20,0.627,0.021,0.8710578947368421
Coagulation factor XI,Group,20,0.428,0.035,0.5743626943005181
Coagulation factor XI,TimePoint,20,0.527,0.031,0.7799600000000001
Collectin-11,TimePoint:Group,20,0.447,0.042,0.8268076923076922
Collectin-11,Group,20,0.585,0.017,0.7180805687203791
Collectin-11,TimePoint,20,0.107,0.12,0.44698387096774195
High mobility group protein B1,TimePoint:Group,20,0.045,0.159,0.8057777777777778
High mobility group protein B1,Group,20,0.003,0.398,0.02252173913043478
High mobility group protein B1,TimePoint,20,0.456,0.043,0.7539044585987261
Immunoglobulin lambda variable 3-16,TimePoint:Group,20,0.082,0.13,0.8057777777777778
Immunoglobulin lambda variable 3-16,Group,20,0.379,0.043,0.5363487738419619
Immunoglobulin lambda variable 3-16,TimePoint,20,0.337,0.059,0.7035826771653543
Prothrombin,TimePoint:Group,20,0.646,0.021,0.8759895287958116
Prothrombin,Group,20,0.019,0.271,0.078736
Prothrombin,TimePoint,20,0.001,0.383,0.0518
Immunoglobulin kappa joining 1,TimePoint:Group,20,0.081,0.145,0.8057777777777778
Immunoglobulin kappa joining 1,Group,20,0.094,0.148,0.2154513274336283
Immunoglobulin kappa joining 1,TimePoint,20,0.05,0.175,0.3453333333333334
Immunoglobulin heavy variable 3-7,TimePoint:Group,20,0.999,0.001,0.999
Immunoglobulin heavy variable 3-7,Group,20,0.626,0.013,0.7506203703703703
Immunoglobulin heavy variable 3-7,TimePoint,20,0.56,0.03,0.7968142076502731
Immunoglobulin heavy variable 3-74,TimePoint:Group,20,0.416,0.047,0.8057777777777778
Immunoglobulin heavy variable 3-74,Group,20,0.021,0.261,0.08367692307692308
Immunoglobulin heavy variable 3-74,TimePoint,20,0.517,0.035,0.7777421203438396
Ezrin,TimePoint:Group,20,0.685,0.013,0.883950248756219
Ezrin,Group,20,0.78,0.004,0.8625970149253732
Ezrin,TimePoint,20,0.04,0.195,0.3453333333333333
Intercellular adhesion molecule 2,TimePoint:Group,20,0.468,0.041,0.8268076923076922
Intercellular adhesion molecule 2,Group,20,0.258,0.071,0.41633644859813085
Intercellular adhesion molecule 2,TimePoint,20,0.588,0.029,0.8048923076923076
Lysozyme C,TimePoint:Group,20,0.355,0.05,0.8057777777777778
Lysozyme C,Group,20,0.209,0.086,0.3613953488372093
Lysozyme C,TimePoint,20,0.497,0.028,0.7701238938053097
Protein AMBP,TimePoint:Group,20,0.226,0.08,0.8057777777777778
Protein AMBP,Group,20,0.02,0.267,0.0809375
Protein AMBP,TimePoint,20,0.229,0.079,0.6237696335078534
Prolyl endopeptidase FAP,TimePoint:Group,20,0.835,0.004,0.9461084598698482
Prolyl endopeptidase FAP,Group,20,0.001,0.572,0.010791666666666668
Prolyl endopeptidase FAP,TimePoint,20,0.515,0.028,0.7777421203438396
"Actin, cytoplasmic 2",TimePoint:Group,20,0.67,0.013,0.8831043256997455
"Actin, cytoplasmic 2",Group,20,0.12,0.129,0.2537142857142857
"Actin, cytoplasmic 2",TimePoint,20,0.457,0.034,0.7539044585987261
Kallistatin,TimePoint:Group,20,0.312,0.062,0.8057777777777778
Kallistatin,Group,20,0.507,0.025,0.6500643564356435
Kallistatin,TimePoint,20,0.023,0.199,0.2836666666666666
Hemopexin,TimePoint:Group,20,0.207,0.084,0.8057777777777778
Hemopexin,Group,20,0.404,0.039,0.5578461538461539
Hemopexin,TimePoint,20,0.056,0.152,0.3493488372093023
C4b-binding protein beta chain,TimePoint:Group,20,0.164,0.1,0.8057777777777778
C4b-binding protein beta chain,Group,20,0.16,0.106,0.30138181818181814
C4b-binding protein beta chain,TimePoint,20,0.452,0.039,0.7539044585987261
Peptidyl-prolyl cis-trans isomerase A,TimePoint:Group,20,0.832,0.01,0.9461084598698482
Peptidyl-prolyl cis-trans isomerase A,Group,20,0.136,0.119,0.27095384615384616
Peptidyl-prolyl cis-trans isomerase A,TimePoint,20,0.913,0.005,0.9420996015936256
Complement C1r subcomponent-like protein,TimePoint:Group,20,0.376,0.052,0.8057777777777778
Complement C1r subcomponent-like protein,Group,20,0.73,0.007,0.8292543859649123
Complement C1r subcomponent-like protein,TimePoint,20,0.402,0.048,0.7323448275862069
Immunoglobulin heavy variable 3-30;Immunoglobulin heavy variable 3-30-5,TimePoint:Group,20,0.596,0.025,0.8647843137254903
Immunoglobulin heavy variable 3-30;Immunoglobulin heavy variable 3-30-5,Group,20,0.015,0.287,0.06698275862068966
Immunoglobulin heavy variable 3-30;Immunoglobulin heavy variable 3-30-5,TimePoint,20,0.847,0.006,0.9162125
Immunoglobulin lambda variable 3-9,TimePoint:Group,20,0.496,0.038,0.8268076923076922
Immunoglobulin lambda variable 3-9,Group,20,0.106,0.138,0.23667241379310344
Immunoglobulin lambda variable 3-9,TimePoint,20,0.219,0.081,0.6066417112299465
Immunoglobulin heavy variable 1-45,TimePoint:Group,20,0.635,0.024,0.8710578947368421
Immunoglobulin heavy variable 1-45,Group,20,0.405,0.039,0.5578461538461539
Immunoglobulin heavy variable 1-45,TimePoint,20,0.612,0.026,0.8087142857142856
Hemoglobin subunit gamma-1,TimePoint:Group,20,0.896,0.006,0.9588285714285715
Hemoglobin subunit gamma-1,Group,20,0.784,0.004,0.8633333333333334
Hemoglobin subunit gamma-1,TimePoint,20,0.057,0.148,0.3493488372093023
Apolipoprotein F,TimePoint:Group,20,0.177,0.094,0.8057777777777778
Apolipoprotein F,Group,20,0.028,0.242,0.09669333333333334
Apolipoprotein F,TimePoint,20,0.681,0.018,0.8459424460431656
Immunoglobulin gamma-1 heavy chain,TimePoint:Group,20,0.354,0.055,0.8057777777777778
Immunoglobulin gamma-1 heavy chain,Group,20,0.001,0.492,0.010791666666666668
Immunoglobulin gamma-1 heavy chain,TimePoint,20,0.814,0.01,0.9009658119658119
Low affinity immunoglobulin gamma Fc region receptor III-B,TimePoint:Group,20,0.41,0.048,0.8057777777777778
Low affinity immunoglobulin gamma Fc region receptor III-B,Group,20,0.162,0.106,0.30294584837545124
Low affinity immunoglobulin gamma Fc region receptor III-B,TimePoint,20,0.215,0.082,0.6066417112299465
Multiple epidermal growth factor-like domains protein 8,TimePoint:Group,20,0.924,0.002,0.967979797979798
Multiple epidermal growth factor-like domains protein 8,Group,20,0.001,0.595,0.010791666666666668
Multiple epidermal growth factor-like domains protein 8,TimePoint,20,0.545,0.027,0.7841944444444444
Complement C4-B,TimePoint:Group,20,0.071,0.148,0.8057777777777778
Complement C4-B,Group,20,0.478,0.028,0.6236876574307304
Complement C4-B,TimePoint,20,0.14,0.109,0.5036111111111111
Glyceraldehyde-3-phosphate dehydrogenase,TimePoint:Group,20,0.738,0.015,0.9049692671394799
Glyceraldehyde-3-phosphate dehydrogenase,Group,20,0.006,0.348,0.03572413793103448
Glyceraldehyde-3-phosphate dehydrogenase,TimePoint,20,0.72,0.016,0.8714018691588784
Complement C1r subcomponent,TimePoint:Group,20,0.112,0.121,0.8057777777777778
Complement C1r subcomponent,Group,20,0.136,0.119,0.27095384615384616
Complement C1r subcomponent,TimePoint,20,0.187,0.092,0.5800359281437125
Sex hormone-binding globulin,TimePoint:Group,20,0.153,0.106,0.8057777777777778
Sex hormone-binding globulin,Group,20,0.036,0.223,0.11233734939759034
Sex hormone-binding globulin,TimePoint,20,0.072,0.156,0.3805714285714285
Biotinidase,TimePoint:Group,20,0.2,0.087,0.8057777777777778
Biotinidase,Group,20,0.067,0.175,0.16685576923076925
Biotinidase,TimePoint,20,0.014,0.225,0.226625
Cholinesterase,TimePoint:Group,20,0.708,0.012,0.8942711864406779
Cholinesterase,Group,20,0.07,0.171,0.1686511627906977
Cholinesterase,TimePoint,20,0.571,0.023,0.8037445652173912
Immunoglobulin heavy variable 2-5,TimePoint:Group,20,0.948,0.001,0.9769744597249508
Immunoglobulin heavy variable 2-5,Group,20,0.002,0.427,0.01786206896551724
Immunoglobulin heavy variable 2-5,TimePoint,20,0.521,0.03,0.7777421203438396
Immunoglobulin lambda variable 1-36,TimePoint:Group,20,0.482,0.033,0.8268076923076922
Immunoglobulin lambda variable 1-36,Group,20,0.002,0.412,0.01786206896551724
Immunoglobulin lambda variable 1-36,TimePoint,20,0.6,0.02,0.8048923076923076
Immunoglobulin kappa variable 3-11,TimePoint:Group,20,0.59,0.024,0.8633333333333333
Immunoglobulin kappa variable 3-11,Group,20,0.005,0.363,0.03083333333333333
Immunoglobulin kappa variable 3-11,TimePoint,20,0.333,0.057,0.7035826771653543
Immunoglobulin kappa variable 6-21,TimePoint:Group,20,0.03,0.185,0.8057777777777778
Immunoglobulin kappa variable 6-21,Group,20,0.633,0.013,0.7555161290322581
Immunoglobulin kappa variable 6-21,TimePoint,20,0.232,0.078,0.6259166666666667
Immunoglobulin kappa light chain,TimePoint:Group,20,0.298,0.065,0.8057777777777778
Immunoglobulin kappa light chain,Group,20,0.01,0.316,0.04886792452830189
Immunoglobulin kappa light chain,TimePoint,20,0.119,0.114,0.4669848484848485
Neuropilin-1,TimePoint:Group,20,0.273,0.069,0.8057777777777778
Neuropilin-1,Group,20,0.001,0.581,0.010791666666666668
Neuropilin-1,TimePoint,20,0.693,0.018,0.8510874704491724
Ficolin-2,TimePoint:Group,20,0.414,0.044,0.8057777777777778
Ficolin-2,Group,20,0.036,0.222,0.11233734939759034
Ficolin-2,TimePoint,20,0.267,0.07,0.6622831050228312
Gamma-glutamyl hydrolase,TimePoint:Group,20,0.318,0.06,0.8057777777777778
Gamma-glutamyl hydrolase,Group,20,0.798,0.004,0.87024
Gamma-glutamyl hydrolase,TimePoint,20,0.805,0.008,0.8978666666666667
Keratinocyte proline-rich protein,TimePoint:Group,20,0.513,0.033,0.8330219435736678
Keratinocyte proline-rich protein,Group,20,0.263,0.069,0.42047530864197535
Keratinocyte proline-rich protein,TimePoint,20,0.9,0.004,0.9373827655310621
Kyphoscoliosis peptidase,TimePoint:Group,20,0.336,0.052,0.8057777777777778
Kyphoscoliosis peptidase,Group,20,0.117,0.131,0.253581589958159
Kyphoscoliosis peptidase,TimePoint,20,0.305,0.059,0.683939393939394
Laminin subunit alpha-2,TimePoint:Group,20,0.686,0.019,0.883950248756219
Laminin subunit alpha-2,Group,20,0.001,0.482,0.010791666666666668
Laminin subunit alpha-2,TimePoint,20,0.741,0.015,0.8827385321100918
Desmoglein-1,TimePoint:Group,20,0.454,0.04,0.8268076923076922
Desmoglein-1,Group,20,0.177,0.099,0.3228380281690141
Desmoglein-1,TimePoint,20,0.401,0.047,0.7323448275862069
Immunoglobulin lambda variable 3-27,TimePoint:Group,20,0.883,0.004,0.9588285714285715
Immunoglobulin lambda variable 3-27,Group,20,0.888,0.001,0.9303070707070707
Immunoglobulin lambda variable 3-27,TimePoint,20,0.718,0.013,0.8710163934426229
Myosin-9,TimePoint:Group,20,0.359,0.053,0.8057777777777778
Myosin-9,Group,20,0.404,0.039,0.5578461538461539
Myosin-9,TimePoint,20,0.37,0.052,0.7129667896678967
Versican core protein,TimePoint:Group,20,0.756,0.01,0.9067990762124711
Versican core protein,Group,20,0.097,0.146,0.22037719298245614
Versican core protein,TimePoint,20,0.009,0.268,0.20269565217391303
Proteasome subunit beta type-3,TimePoint:Group,20,0.347,0.054,0.8057777777777778
Proteasome subunit beta type-3,Group,20,0.482,0.028,0.62678
Proteasome subunit beta type-3,TimePoint,20,0.515,0.031,0.7777421203438396
Alpha-N-acetylglucosaminidase,TimePoint:Group,20,0.577,0.026,0.8539599999999999
Alpha-N-acetylglucosaminidase,Group,20,0.002,0.422,0.01786206896551724
Alpha-N-acetylglucosaminidase,TimePoint,20,0.302,0.063,0.6831266375545851
Caspase-14,TimePoint:Group,20,0.733,0.012,0.9040333333333332
Caspase-14,Group,20,0.502,0.025,0.6465359801488834
Caspase-14,TimePoint,20,0.838,0.006,0.9157890295358649
Histidine-rich glycoprotein,TimePoint:Group,20,0.412,0.045,0.8057777777777778
Histidine-rich glycoprotein,Group,20,0.2,0.089,0.3535836177474403
Histidine-rich glycoprotein,TimePoint,20,0.245,0.076,0.6371399999999999
"ATP synthase subunit alpha, mitochondrial",TimePoint:Group,20,0.194,0.088,0.8057777777777778
"ATP synthase subunit alpha, mitochondrial",Group,20,0.778,0.005,0.8625970149253732
"ATP synthase subunit alpha, mitochondrial",TimePoint,20,0.926,0.003,0.9481341222879685
Immunoglobulin kappa constant,TimePoint:Group,20,0.411,0.046,0.8057777777777778
Immunoglobulin kappa constant,Group,20,0.09,0.151,0.2072
Immunoglobulin kappa constant,TimePoint,20,0.603,0.025,0.8048923076923076
Interleukin-1 receptor accessory protein,TimePoint:Group,20,0.17,0.098,0.8057777777777778
Interleukin-1 receptor accessory protein,Group,20,0.412,0.038,0.5616210526315789
Interleukin-1 receptor accessory protein,TimePoint,20,0.806,0.008,0.8978666666666667
Immunoglobulin lambda variable 9-49,TimePoint:Group,20,0.084,0.138,0.8057777777777778
Immunoglobulin lambda variable 9-49,Group,20,0.06,0.183,0.15776649746192892
Immunoglobulin lambda variable 9-49,TimePoint,20,0.606,0.023,0.8048923076923076
Plexin domain-containing protein 2,TimePoint:Group,20,0.737,0.015,0.9049692671394799
Plexin domain-containing protein 2,Group,20,0.055,0.19,0.14994736842105263
Plexin domain-containing protein 2,TimePoint,20,0.552,0.031,0.7898784530386741
Immunoglobulin heavy variable 4-28,TimePoint:Group,20,0.713,0.014,0.8942711864406779
Immunoglobulin heavy variable 4-28,Group,20,0.01,0.313,0.04886792452830189
Immunoglobulin heavy variable 4-28,TimePoint,20,0.675,0.017,0.8405048076923078
Desmoplakin,TimePoint:Group,20,0.494,0.035,0.8268076923076922
Desmoplakin,Group,20,0.11,0.136,0.24246808510638299
Desmoplakin,TimePoint,20,0.545,0.03,0.7841944444444444
Endoplasmin,TimePoint:Group,20,0.262,0.07,0.8057777777777778
Endoplasmin,Group,20,0.564,0.019,0.7056811594202899
Endoplasmin,TimePoint,20,0.829,0.004,0.911723991507431
Heparin cofactor 2,TimePoint:Group,20,0.089,0.132,0.8057777777777778
Heparin cofactor 2,Group,20,0.004,0.373,0.0259
Heparin cofactor 2,TimePoint,20,0.371,0.052,0.7129667896678967
Laminin subunit gamma-1,TimePoint:Group,20,0.213,0.083,0.8057777777777778
Laminin subunit gamma-1,Group,20,0.001,0.49,0.010791666666666668
Laminin subunit gamma-1,TimePoint,20,0.17,0.095,0.5531728395061728
Polymeric immunoglobulin receptor,TimePoint:Group,20,0.944,0.003,0.9760319361277445
Polymeric immunoglobulin receptor,Group,20,0.855,0.002,0.9112962962962963
Polymeric immunoglobulin receptor,TimePoint,20,0.881,0.007,0.9288275862068965
Serum amyloid A-4 protein,TimePoint:Group,20,0.904,0.004,0.9588285714285715
Serum amyloid A-4 protein,Group,20,0.911,0.001,0.9429461077844312
Serum amyloid A-4 protein,TimePoint,20,0.623,0.023,0.8169974683544303
Catalase,TimePoint:Group,20,0.57,0.03,0.8499367816091954
Catalase,Group,20,0.019,0.268,0.078736
Catalase,TimePoint,20,0.424,0.046,0.73556
Complement receptor type 1,TimePoint:Group,20,0.064,0.143,0.8057777777777778
Complement receptor type 1,Group,20,0.009,0.323,0.047090909090909086
Complement receptor type 1,TimePoint,20,0.19,0.088,0.5823668639053254
Immunoglobulin kappa variable 1-27,TimePoint:Group,20,0.386,0.051,0.8057777777777778
Immunoglobulin kappa variable 1-27,Group,20,0.136,0.119,0.27095384615384616
Immunoglobulin kappa variable 1-27,TimePoint,20,0.112,0.115,0.46412800000000004
Immunoglobulin kappa variable 2-30,TimePoint:Group,20,0.872,0.006,0.9549598308668077
Immunoglobulin kappa variable 2-30,Group,20,0.042,0.211,0.12432000000000001
Immunoglobulin kappa variable 2-30,TimePoint,20,0.592,0.027,0.8048923076923076
Protein-glutamine gamma-glutamyltransferase E,TimePoint:Group,20,0.219,0.082,0.8057777777777778
Protein-glutamine gamma-glutamyltransferase E,Group,20,0.455,0.031,0.5997201017811705
Protein-glutamine gamma-glutamyltransferase E,TimePoint,20,0.523,0.033,0.7777421203438396
Periostin,TimePoint:Group,20,0.234,0.078,0.8057777777777778
Periostin,Group,20,0.033,0.228,0.10750943396226416
Periostin,TimePoint,20,0.087,0.132,0.4251509433962264
Albumin,TimePoint:Group,20,0.425,0.045,0.8093750000000001
Albumin,Group,20,0.859,0.002,0.9136796714579055
Albumin,TimePoint,20,0.047,0.163,0.3453333333333334
Complement factor B,TimePoint:Group,20,0.542,0.031,0.8499367816091954
Complement factor B,Group,20,0.593,0.016,0.7239811764705881
Complement factor B,TimePoint,20,0.116,0.116,0.46579844961240313
Probable non-functional immunoglobulinn kappa variable 1-37;Probable non-functional immunoglobulinn kappa variable 1D-37,TimePoint:Group,20,0.105,0.121,0.8057777777777778
Probable non-functional immunoglobulinn kappa variable 1-37;Probable non-functional immunoglobulinn kappa variable 1D-37,Group,20,0.001,0.723,0.010791666666666668
Probable non-functional immunoglobulinn kappa variable 1-37;Probable non-functional immunoglobulinn kappa variable 1D-37,TimePoint,20,0.869,0.006,0.922422131147541
Immunoglobulin lambda variable 8-61,TimePoint:Group,20,0.063,0.153,0.8057777777777778
Immunoglobulin lambda variable 8-61,Group,20,0.084,0.156,0.19868493150684932
Immunoglobulin lambda variable 8-61,TimePoint,20,0.473,0.038,0.7668277945619335
Annexin A1,TimePoint:Group,20,0.127,0.119,0.8057777777777778
Annexin A1,Group,20,0.661,0.011,0.7746561085972852
Annexin A1,TimePoint,20,0.393,0.045,0.7323448275862069
CD5 antigen-like,TimePoint:Group,20,0.277,0.069,0.8057777777777778
CD5 antigen-like,Group,20,0.922,0.001,0.9494950298210737
CD5 antigen-like,TimePoint,20,0.649,0.021,0.8344137931034483
RB-associated KRAB zinc finger protein,TimePoint:Group,20,0.025,0.235,0.8057777777777778
RB-associated KRAB zinc finger protein,Group,20,0.002,0.43,0.01786206896551724
RB-associated KRAB zinc finger protein,TimePoint,20,0.014,0.274,0.226625
Immunoglobulin lambda variable 7-46,TimePoint:Group,20,0.379,0.047,0.8057777777777778
Immunoglobulin lambda variable 7-46,Group,20,0.379,0.043,0.5363487738419619
Immunoglobulin lambda variable 7-46,TimePoint,20,0.63,0.017,0.8199497487437186
Basement membrane-specific heparan sulfate proteoglycan core protein,TimePoint:Group,20,0.899,0.004,0.9588285714285715
Basement membrane-specific heparan sulfate proteoglycan core protein,Group,20,0.001,0.629,0.010791666666666668
Basement membrane-specific heparan sulfate proteoglycan core protein,TimePoint,20,0.777,0.011,0.8945198237885462
Vitamin K-dependent protein C,TimePoint:Group,20,0.552,0.027,0.8499367816091954
Vitamin K-dependent protein C,Group,20,0.035,0.224,0.11054878048780489
Vitamin K-dependent protein C,TimePoint,20,0.095,0.133,0.43459322033898307
Immunoglobulin lambda variable 1-40,TimePoint:Group,20,0.247,0.075,0.8057777777777778
Immunoglobulin lambda variable 1-40,Group,20,0.972,0.001,0.983390625
Immunoglobulin lambda variable 1-40,TimePoint,20,0.778,0.012,0.8945198237885462
Pantetheinase,TimePoint:Group,20,0.237,0.077,0.8057777777777778
Pantetheinase,Group,20,0.322,0.055,0.48068011527377524
Pantetheinase,TimePoint,20,0.096,0.123,0.43459322033898307
Neutrophil defensin 1;Neutrophil defensin 3,TimePoint:Group,20,0.053,0.155,0.8057777777777778
Neutrophil defensin 1;Neutrophil defensin 3,Group,20,0.007,0.337,0.040741573033707866
Neutrophil defensin 1;Neutrophil defensin 3,TimePoint,20,0.81,0.01,0.9003862660944206
Immunoglobulin lambda variable 2-8,TimePoint:Group,20,0.076,0.145,0.8057777777777778
Immunoglobulin lambda variable 2-8,Group,20,0.318,0.055,0.4774608695652174
Immunoglobulin lambda variable 2-8,TimePoint,20,0.341,0.056,0.7035826771653543
Immunoglobulin heavy variable 1-18,TimePoint:Group,20,0.322,0.059,0.8057777777777778
Immunoglobulin heavy variable 1-18,Group,20,0.001,0.543,0.010791666666666668
Immunoglobulin heavy variable 1-18,TimePoint,20,0.584,0.023,0.8048923076923076
Immunoglobulin kappa variable 3D-15,TimePoint:Group,20,0.855,0.008,0.9463461538461538
