contrast,TimePoint,estimate,SE,df,t.ratio,p.value,Protein
Female - Male,X1hr,107.02816840803355,73.78972604187037,18.0,1.450448106384116,0.1641367117702163,Pancreatic adenocarcinoma up-regulated factor
Female - Male,X2hrs,80.78499531125563,37.02056821834894,18.0,2.182165190841539,0.042593672639377286,Pancreatic adenocarcinoma up-regulated factor
Female - Male,X3min,-119.46590576171987,332.3113006558919,18.0,-0.3594999794648173,0.7234040644966458,Immunoglobulin heavy variable 3-64D
Female - Male,X1hr,-548.1299305178094,362.51472238635085,18.0,-1.5120211585052226,0.14788684983876843,Immunoglobulin heavy variable 3-64D
Female - Male,X2hrs,-178.63945678181676,291.59972686611496,18.0,-0.6126187383702085,0.5477908289114315,Immunoglobulin heavy variable 3-64D
Female - Male,X3min,-22.88588104248051,15.108791872296184,18.0,-1.514739314428215,0.14720131400909342,Neutrophil gelatinase-associated lipocalin
Female - Male,X1hr,18.12432794483823,30.941524259551702,18.0,0.5857606688281758,0.5653092454666303,Neutrophil gelatinase-associated lipocalin
Female - Male,X2hrs,-9.596938045341037,36.57919511367208,18.0,-0.262360558112828,0.7960225829735659,Neutrophil gelatinase-associated lipocalin
Female - Male,X3min,205.04493713378943,68.34559284049251,18.0,3.000119372910129,0.007683417358578114,Lysosome-associated membrane glycoprotein 2
Female - Male,X1hr,34.652338148891786,72.61339121750154,18.0,0.4772169095517984,0.6389505864634896,Lysosome-associated membrane glycoprotein 2
Female - Male,X2hrs,-98.65130407624997,91.86989060723803,18.0,-1.0738154081188995,0.29709047579075276,Lysosome-associated membrane glycoprotein 2
Female - Male,X3min,85.38464330393299,67.2266988847281,18.0,1.2701001941258467,0.22022244299311944,Corneodesmosin
Female - Male,X1hr,117.22085316035482,99.69821393310397,18.0,1.1757568018119993,0.2550096324331144,Corneodesmosin
Female - Male,X2hrs,-60.798957271805335,94.13918816588699,18.0,-0.6458411046063909,0.5265308580446529,Corneodesmosin
