TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Cytokine,p_value_FDR,Significant_FDR
X3min,.,Female - Male,-260564.67054863757,58284.065929815195,18.0,-4.470598720109981,0.0002955654059460831,Between-Group,VCAM-1,0.011337713420037853,True
X1hr,.,Female - Male,-169676.8078544272,55368.767486866716,18.0,-3.0644859106656828,0.006677980189278811,Between-Group,VCAM-1,0.052234312432407844,False
X2hrs,.,Female - Male,-243354.29781045826,59897.25285978359,18.0,-4.06286242175644,0.0007301366478211221,Between-Group,VCAM-1,0.014894787615550891,True
.,Female,X3min - X1hr,79784.55915521376,42641.80321469303,18.0,1.8710409302700994,0.07768660499677474,Within-Group,VCAM-1,0.23080113927974227,False
.,Female,X3min - X2hrs,110579.3858779799,42367.1391814733,18.0,2.610027205385043,0.017721617841654255,Within-Group,VCAM-1,0.0950058568055643,False
.,Female,X1hr - X2hrs,30794.82672276614,24027.084240631277,18.0,1.2816714010887011,0.2162222377031998,Within-Group,VCAM-1,0.4692482605473698,False
.,Male,X3min - X1hr,170672.42184942414,42641.80321469303,18.0,4.002467273490343,0.0008352270630751415,Within-Group,VCAM-1,0.015794145813971514,True
.,Male,X3min - X2hrs,127789.75861615922,42367.1391814733,18.0,3.0162470510173205,0.0074184880764435355,Within-Group,VCAM-1,0.05536725247296883,False
.,Male,X1hr - X2hrs,-42882.66323326492,24027.084240631277,18.0,-1.7847635112023996,0.09116342360636347,Within-Group,VCAM-1,0.25360006930497475,False
X3min,.,Female - Male,-0.9392561434447158,0.5187667643300944,18.0,-1.8105557410903477,0.08693497923967468,Between-Group,MIP-1a,0.24699305414758224,False
X1hr,.,Female - Male,-1.0049385321421938,0.42807415984606945,18.0,-2.34758045779628,0.030530684823418412,Between-Group,MIP-1a,0.14141623017564842,False
X2hrs,.,Female - Male,-0.9013138542862541,0.5666371826893037,18.0,-1.5906366222007335,0.12910076640959975,Between-Group,MIP-1a,0.3319733993389708,False
.,Female,X3min - X1hr,0.46405625624972235,0.40004214644644026,18.0,1.1600184139894185,0.26119716420252664,Within-Group,MIP-1a,0.5049245216774422,False
.,Female,X3min - X2hrs,0.32165377885296126,0.36141730799486177,18.0,0.889978901778368,0.38521798794179984,Within-Group,MIP-1a,0.6063299073620164,False
.,Female,X1hr - X2hrs,-0.1424024773967611,0.28972849847448745,18.0,-0.4915031767553256,0.6290102587505946,Within-Group,MIP-1a,0.7824273950312274,False
.,Male,X3min - X1hr,0.39837386755224435,0.40004214644644026,18.0,0.995829742168381,0.3325324031312067,Within-Group,MIP-1a,0.5691657627787996,False
.,Male,X3min - X2hrs,0.3595960680114229,0.36141730799486177,18.0,0.9949608390546012,0.3329433710372717,Within-Group,MIP-1a,0.5691657627787996,False
.,Male,X1hr - X2hrs,-0.038777799540821445,0.2897284984744875,18.0,-0.13384185451206515,0.8950127175963115,Within-Group,MIP-1a,0.9638529861910758,False
X3min,.,Female - Male,-49.45478421200292,57.22883162168019,18.0,-0.8641585510417409,0.3988705728878965,Between-Group,VEGF1,0.6164363399176582,False
X1hr,.,Female - Male,-34.90027528702501,30.70940621830806,18.0,-1.1364685803080905,0.270665044461627,Between-Group,VEGF1,0.5063483029081349,False
X2hrs,.,Female - Male,-25.098778836379132,38.08492975447085,18.0,-0.6590212716207714,0.518224725088146,Between-Group,VEGF1,0.6955121310393538,False
.,Female,X3min - X1hr,1.5668313923962742,19.529560476227985,18.0,0.08022870736407367,0.9369406380435334,Within-Group,VEGF1,0.9735659078972674,False
.,Female,X3min - X2hrs,-2.889999831296084,14.54498228484687,18.0,-0.19869393957990028,0.8447291679902575,Within-Group,VEGF1,0.9411109602393828,False
.,Female,X1hr - X2hrs,-4.456831223692358,6.698791185146513,18.0,-0.6653187269928135,0.51428216208941,Within-Group,VEGF1,0.6938341224522534,False
.,Male,X3min - X1hr,16.121340317374184,19.529560476227985,18.0,0.8254840316041727,0.41990340065189924,Within-Group,VEGF1,0.6237400029101027,False
.,Male,X3min - X2hrs,21.466005544327704,14.544982284846872,18.0,1.475835798486412,0.15726743123975231,Within-Group,VEGF1,0.37596745280753285,False
.,Male,X1hr - X2hrs,5.34466522695352,6.698791185146509,18.0,0.7978551770361875,0.43535460788558755,Within-Group,VEGF1,0.6343738572047133,False
X3min,.,Female - Male,-68.9865451102493,44.472797465178374,18.0,-1.55120768294967,0.13825621944255023,Between-Group,MDC,0.3439544971497591,False
X1hr,.,Female - Male,-86.58003895819942,39.40308432812982,18.0,-2.1972909084274406,0.041331065678316105,Between-Group,MDC,0.16720785151521217,False
X2hrs,.,Female - Male,-76.68887115565602,42.395901111573295,18.0,-1.8088746587514182,0.08720525983489906,Between-Group,MDC,0.24699305414758224,False
.,Female,X3min - X1hr,115.177496867077,22.991872327064435,18.0,5.0094874931737525,9.095492004389736e-05,Within-Group,MDC,0.011250476728142635,True
.,Female,X3min - X2hrs,73.52865910267855,27.26199258821293,18.0,2.697112430969906,0.014741777961978333,Within-Group,MDC,0.08488788469229584,False
.,Female,X1hr - X2hrs,-41.64883776439845,16.351364262597503,18.0,-2.5471169925354173,0.0202212700744805,Within-Group,MDC,0.10312847737985056,False
.,Male,X3min - X1hr,97.58400301912687,22.991872327064435,18.0,4.244282572161718,0.0004878138776034126,Within-Group,MDC,0.013923658774282227,True
.,Male,X3min - X2hrs,65.82633305727182,27.26199258821293,18.0,2.414582604124567,0.026617353226923726,Within-Group,MDC,0.12530630903751785,False
