Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
CD109 antigen,Leuk,delta_time2_vs_time1,20,17,0.18193464888707364,"[-0.30, 0.59]",0.4559985414763792,0.9910959233646371,False
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Leuk,delta_time2_vs_time1,20,17,0.17705221266025045,"[-0.30, 0.58]",0.4683792702758435,0.9910959233646371,False
Dedicator of cytokinesis protein 4,Leuk,delta_time2_vs_time1,20,17,0.23404026266038896,"[-0.25, 0.62]",0.3348530908435654,0.9910959233646371,False
Complement factor H-related protein 2,Leuk,delta_time2_vs_time1,20,17,0.10504909966853122,"[-0.37, 0.53]",0.6686512835014817,0.9932510442843305,False
Selenoprotein P,Leuk,delta_time2_vs_time1,20,17,-0.16494234530499924,"[-0.58, 0.31]",0.4998013379376325,0.9910959233646371,False
Adipocyte plasma membrane-associated protein,Leuk,delta_time2_vs_time1,20,17,0.3887130664212604,"[-0.08, 0.72]",0.1000189570555731,0.9910959233646371,False
Immunoglobulin heavy constant alpha 2,Leuk,delta_time2_vs_time1,20,17,-0.048483479508631626,"[-0.49, 0.41]",0.8437473806630886,0.9932510442843305,False
Lactotransferrin,Leuk,delta_time2_vs_time1,20,17,0.059490540294235415,"[-0.41, 0.50]",0.8088402757933615,0.9932510442843305,False
Alpha-enolase,Leuk,delta_time2_vs_time1,20,17,-0.061377892332291566,"[-0.50, 0.40]",0.8028875560751106,0.9932510442843305,False
Immunoglobulin heavy constant gamma 1,Leuk,delta_time2_vs_time1,20,17,0.2918608080932098,"[-0.19, 0.66]",0.22534360720093538,0.9910959233646371,False
Collectin-10,Leuk,delta_time2_vs_time1,20,17,0.09745035222979875,"[-0.37, 0.53]",0.6914518786138405,0.9932510442843305,False
Lysosome-associated membrane glycoprotein 1,Leuk,delta_time2_vs_time1,20,17,-0.18613181330949424,"[-0.59, 0.29]",0.44549084493574087,0.9910959233646371,False
Cathelicidin antimicrobial peptide,Leuk,delta_time2_vs_time1,20,17,0.33067623875463653,"[-0.15, 0.68]",0.166726282186613,0.9910959233646371,False
Fibroblast growth factor-binding protein 2,Leuk,delta_time2_vs_time1,20,17,0.2792759923836314,"[-0.20, 0.65]",0.24689892430941215,0.9910959233646371,False
Lymphatic vessel endothelial hyaluronic acid receptor 1,Leuk,delta_time2_vs_time1,20,17,-0.009657261827269264,"[-0.46, 0.45]",0.968700726236092,0.9987956535135862,False
Haptoglobin,Leuk,delta_time2_vs_time1,20,17,0.18491061234285353,"[-0.29, 0.59]",0.44853513986345417,0.9910959233646371,False
Tenascin-X,Leuk,delta_time2_vs_time1,20,17,-0.028021526141631375,"[-0.48, 0.43]",0.9093388479239111,0.9962149616584234,False
Zinc finger protein 512B,Leuk,delta_time2_vs_time1,20,17,-0.3509324338199601,"[-0.69, 0.12]",0.1407081153155574,0.9910959233646371,False
Immunoglobulin lambda variable 3-19,Leuk,delta_time2_vs_time1,20,17,-0.1908281584728967,"[-0.59, 0.29]",0.4338838020929019,0.9910959233646371,False
Complement C1q subcomponent subunit B,Leuk,delta_time2_vs_time1,20,17,-0.002551891384086358,"[-0.46, 0.45]",0.9917275029330301,0.9987956535135862,False
Ubiquitin-ribosomal protein eS31 fusion protein,Leuk,delta_time2_vs_time1,20,17,-0.2822412650163196,"[-0.65, 0.20]",0.24170601116420998,0.9910959233646371,False
Kinesin-like protein KIF21A,Leuk,delta_time2_vs_time1,20,17,-0.08526475804234694,"[-0.52, 0.38]",0.7285449346099945,0.9932510442843305,False
Attractin,Leuk,delta_time2_vs_time1,20,17,0.3313333377511113,"[-0.14, 0.68]",0.16583414407287578,0.9910959233646371,False
Immunoglobulin lambda variable 1-44,Leuk,delta_time2_vs_time1,20,17,0.0885100411779001,"[-0.38, 0.52]",0.7186058090420091,0.9932510442843305,False
Immunoglobulin heavy variable 1-46,Leuk,delta_time2_vs_time1,20,17,0.18912574172846025,"[-0.29, 0.59]",0.4380728605262958,0.9910959233646371,False
Fibulin-1,Leuk,delta_time2_vs_time1,20,17,0.21164693270554388,"[-0.27, 0.61]",0.3843923290137119,0.9910959233646371,False
Secreted phosphoprotein 24,Leuk,delta_time2_vs_time1,20,17,-0.0597470890044861,"[-0.50, 0.41]",0.8080305214825987,0.9932510442843305,False
Scavenger receptor class B member 1,Leuk,delta_time2_vs_time1,20,17,0.1057369323273031,"[-0.37, 0.53]",0.6666006800073964,0.9932510442843305,False
Immunoglobulin lambda variable 2-18,Leuk,delta_time2_vs_time1,20,17,0.09721434488241885,"[-0.37, 0.53]",0.6921642434534074,0.9932510442843305,False
Collagen alpha-2(VI) chain,Leuk,delta_time2_vs_time1,20,17,-0.005322524518522226,"[-0.46, 0.45]",0.9827468491344322,0.9987956535135862,False
Adiponectin,Leuk,delta_time2_vs_time1,20,17,0.09044887662952504,"[-0.38, 0.52]",0.7126883195531116,0.9932510442843305,False
Nidogen-1,Leuk,delta_time2_vs_time1,20,17,0.09466666792888875,"[-0.38, 0.53]",0.6998698038174088,0.9932510442843305,False
Alpha-1-antitrypsin,Leuk,delta_time2_vs_time1,20,17,0.021180959434986765,"[-0.44, 0.47]",0.931413255239106,0.9976434319763154,False
"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",Leuk,delta_time2_vs_time1,20,17,0.19874812721277904,"[-0.28, 0.60]",0.4146748204634926,0.9910959233646371,False
Complement C1s subcomponent,Leuk,delta_time2_vs_time1,20,17,-0.07408159078957739,"[-0.51, 0.39]",0.7631048715532799,0.9932510442843305,False
Alpha-actinin-4,Leuk,delta_time2_vs_time1,20,17,0.0208501045797699,"[-0.44, 0.47]",0.932482261175558,0.9981458507003986,False
Complement component C1q receptor,Leuk,delta_time2_vs_time1,20,17,0.3218110565443493,"[-0.16, 0.68]",0.17908372722124183,0.9910959233646371,False
Inter-alpha-trypsin inhibitor heavy chain H3,Leuk,delta_time2_vs_time1,20,17,0.18653265670627553,"[-0.29, 0.59]",0.4444939324567463,0.9910959233646371,False
Immunoglobulin kappa variable 1D-8,Leuk,delta_time2_vs_time1,20,17,0.23387798913741362,"[-0.25, 0.62]",0.33519797603720447,0.9910959233646371,False
Low-density lipoprotein receptor,Leuk,delta_time2_vs_time1,20,17,-0.44635585730558736,"[-0.75, 0.01]",0.05540686010693905,0.9910959233646371,False
Prolactin-inducible protein,Leuk,delta_time2_vs_time1,20,17,0.09320125187096237,"[-0.38, 0.53]",0.7043148278803627,0.9932510442843305,False
Hyaluronan-binding protein 2,Leuk,delta_time2_vs_time1,20,17,-0.016951526982753,"[-0.47, 0.44]",0.9450865911975893,0.9987956535135862,False
N-acetylmuramoyl-L-alanine amidase,Leuk,delta_time2_vs_time1,20,17,0.1939174538534001,"[-0.29, 0.60]",0.42633614659200214,0.9910959233646371,False
Serpin A11,Leuk,delta_time2_vs_time1,20,17,0.3338745269060423,"[-0.14, 0.68]",0.16241470224108617,0.9910959233646371,False
C4b-binding protein alpha chain,Leuk,delta_time2_vs_time1,20,17,0.10186532126473537,"[-0.37, 0.53]",0.6781720264870034,0.9932510442843305,False
Inter-alpha-trypsin inhibitor heavy chain H2,Leuk,delta_time2_vs_time1,20,17,0.20042729165215536,"[-0.28, 0.60]",0.4106618354351561,0.9910959233646371,False
Fibrillin-1,Leuk,delta_time2_vs_time1,20,17,0.277776224861933,"[-0.20, 0.65]",0.24955219871509526,0.9910959233646371,False
Golgi-associated RAB2 interactor protein 1B,Leuk,delta_time2_vs_time1,20,17,0.21099061052364274,"[-0.27, 0.61]",0.385902750581967,0.9910959233646371,False
Neurogenic locus notch homolog protein 3,Leuk,delta_time2_vs_time1,20,17,-0.27061583736691813,"[-0.65, 0.21]",0.2624684292398648,0.9910959233646371,False
Immunoglobulin heavy constant alpha 1,Leuk,delta_time2_vs_time1,20,17,-0.17470404007854987,"[-0.58, 0.30]",0.47439327497261263,0.9910959233646371,False
Apolipoprotein C-III,Leuk,delta_time2_vs_time1,20,17,0.09993529820949536,"[-0.37, 0.53]",0.6839664726676602,0.9932510442843305,False
Glutathione peroxidase 3,Leuk,delta_time2_vs_time1,20,17,-0.10829227917137199,"[-0.54, 0.36]",0.6590024464490174,0.9932510442843305,False
Contactin-1,Leuk,delta_time2_vs_time1,20,17,0.043433373177295335,"[-0.42, 0.49]",0.8598608184240508,0.9932510442843305,False
Stomatin,Leuk,delta_time2_vs_time1,20,17,0.2531264680167985,"[-0.23, 0.63]",0.2957463175298281,0.9910959233646371,False
Immunoglobulin heavy variable 3-13,Leuk,delta_time2_vs_time1,20,17,0.029953183600592004,"[-0.43, 0.48]",0.9031162384630886,0.9943729152731261,False
Immunoglobulin heavy variable 1-69-2,Leuk,delta_time2_vs_time1,20,17,-0.166599992692184,"[-0.58, 0.31]",0.4954410821624998,0.9910959233646371,False
Apolipoprotein E,Leuk,delta_time2_vs_time1,20,17,-0.28081822155533837,"[-0.65, 0.20]",0.24418932079565003,0.9910959233646371,False
Mucosal addressin cell adhesion molecule 1,Leuk,delta_time2_vs_time1,20,17,-0.151556705773112,"[-0.57, 0.33]",0.5356752436845533,0.9910959233646371,False
Protein S100-A11,Leuk,delta_time2_vs_time1,20,17,-0.22382347355707657,"[-0.62, 0.26]",0.35697088119177955,0.9910959233646371,False
Complement factor H-related protein 4,Leuk,delta_time2_vs_time1,20,17,0.18851286486531585,"[-0.29, 0.59]",0.4395860928023252,0.9910959233646371,False
Immunoglobulin kappa variable 1D-16,Leuk,delta_time2_vs_time1,20,17,-0.072975366029195,"[-0.51, 0.39]",0.7665481084384967,0.9932510442843305,False
Immunoglobulin lambda variable 1-47,Leuk,delta_time2_vs_time1,20,17,0.04164999817304584,"[-0.42, 0.49]",0.8655640777181253,0.9932510442843305,False
Fructose-bisphosphate aldolase A,Leuk,delta_time2_vs_time1,20,17,-0.0029743519368212023,"[-0.46, 0.45]",0.9903580637409821,0.9987956535135862,False
Thrombospondin-1,Leuk,delta_time2_vs_time1,20,17,0.08300246168306269,"[-0.39, 0.52]",0.7354982465174753,0.9932510442843305,False
