TimePoint,Sex,N,r,p_value_raw,CI_95_lower,CI_95_upper,p_value_FDR
baseline,Female,10,-0.731687957181182,0.016158826955764226,-0.9319683767565049,-0.18923174947042432,0.021545102607685634
baseline,Male,10,-0.7161754613836617,0.019818365680540025,-0.9275506743096177,-0.1576133357504831,0.02264956077776003
3min,Female,10,-0.8475815120587894,0.0019561425837644184,-0.9631924253369174,-0.46736301570736793,0.01506860711245737
3min,Male,10,-0.7979440986070795,0.005668716224742665,-0.950190444096108,-0.3382516660652377,0.015116576599313774
1hr,Female,10,-0.8187890113154307,0.0037671517781143423,-0.955715855838208,-0.3904422345442939,0.01506860711245737
1hr,Male,10,-0.6623158640805347,0.03692281002207798,-0.9117395524793647,-0.05605882783447051,0.03692281002207798
2hrs,Female,10,-0.7561593947597802,0.011384920883041043,-0.9388185789703611,-0.24150764951940992,0.01821587341286567
2hrs,Male,10,-0.7716174355453457,0.008940621313865109,-0.9430724766102614,-0.27614377357577263,0.017881242627730217
