Protein,Effect,N,num_df,den_df,F_statistic,p_value_raw,Partial_Eta_Squared,p_value_FDR,Significant_FDR
VCAM-1,TimePoint:Group,20,1.4877297172383803,26.779134910290846,1.6686366602300453,0.21029175392215246,0.08483743378126589,0.7983094479102772,False
VCAM-1,Group,20,1.0,18.0,20.84200088752772,0.00023987680032188424,0.5365841205729478,0.0040779056054720325,True
VCAM-1,TimePoint,20,1.4877297172383803,26.779134910290846,14.281332385697741,0.00020054841482338494,0.4424021975011506,0.0006818646103995087,True
MIP-1α,TimePoint:Group,20,1.7763459512743067,31.97422712293752,0.022012707585040283,0.9687061373293648,0.0012214344725090362,0.9687061373293648,False
MIP-1α,Group,20,1.0,18.0,5.1535480137222835,0.03571807984645276,0.22258135170765012,0.12144147147793939,False
MIP-1α,TimePoint,20,1.7763459512743067,31.97422712293752,1.656056280231651,0.20859102475171776,0.08425170627422185,0.3377188019789716,False
VEGF1,TimePoint:Group,20,1.0898273829321874,19.616892892779372,0.7063891203916944,0.42263441359955856,0.037761917377291426,0.7983094479102772,False
VEGF1,Group,20,1.0,18.0,0.7615947464049924,0.39432283010172164,0.04059328413704946,0.5156529316714822,False
VEGF1,TimePoint,20,1.0898273829321874,19.616892892779372,0.5163785632402932,0.4961329426146833,0.027887665046200532,0.5622840016299745,False
MDC,TimePoint:Group,20,1.5532249596316579,27.95804927336984,0.15160120788237066,0.8067051269090917,0.008351946814286417,0.9687061373293648,False
MDC,Group,20,1.0,18.0,4.179938743654153,0.05581433626207465,0.18845582902477873,0.1581406194092115,False
MDC,TimePoint,20,1.5532249596316579,27.95804927336984,22.76356238234084,5.681058696085601e-06,0.5584291718380883,6.438533188897014e-05,True
SAA,TimePoint:Group,20,1.035077997730423,18.63140395914761,1.1547213523335234,0.29863882093789507,0.06028390239113812,0.7983094479102772,False
SAA,Group,20,1.0,18.0,4.601940124955754,0.0458282277460817,0.20360819024887858,0.14165088576061616,False
SAA,TimePoint,20,1.035077997730423,18.63140395914761,1.337569321542216,0.2637240840168248,0.06916946485369041,0.4075735843896383,False
IL-8,TimePoint:Group,20,1.9656259482563057,35.381267068613504,1.49347873478729,0.2384675983033941,0.07661427470726849,0.7983094479102772,False
IL-8,Group,20,1.0,18.0,0.48038390268537123,0.49709490130543454,0.025994259925280396,0.5694679887313662,False
IL-8,TimePoint,20,1.9656259482563057,35.381267068613504,4.1412498239713225,0.024778829121524217,0.18703776240706071,0.056165346008788225,False
IL-16,TimePoint:Group,20,1.4135333341446952,25.443600014604513,1.085332372081691,0.3318070994071333,0.05686735504115879,0.7983094479102772,False
IL-16,Group,20,1.0,18.0,8.514793970112486,0.009180958649109894,0.32113370293242227,0.057818391559273596,False
IL-16,TimePoint,20,1.4135333341446952,25.443600014604513,27.676818422760057,2.99162133969024e-06,0.6059270189661268,5.085756277473408e-05,True
TNF-α,TimePoint:Group,20,1.867107907523612,33.607942335425015,0.41923743144208203,0.6471804297603299,0.022760846262095173,0.9225965373841045,False
TNF-α,Group,20,1.0,18.0,0.8624888113577167,0.36533060514735294,0.04572508007736414,0.4968496230004,False
TNF-α,TimePoint,20,1.867107907523612,33.607942335425015,2.643674721598211,0.08917802372668387,0.12806221553337574,0.15160264033536258,False
MCP-4,TimePoint:Group,20,1.488417678775404,26.79151821795727,0.30748064259340746,0.6733100854994662,0.016795355330216002,0.9225965373841045,False
MCP-4,Group,20,1.0,18.0,7.664917216949755,0.012660544913358563,0.2986534946579781,0.06149407529345588,False
MCP-4,TimePoint,20,1.488417678775404,26.79151821795727,8.048115981220079,0.0038279903250898837,0.30897113584040137,0.009296547932361147,True
Tie-2,TimePoint:Group,20,1.5035877429083873,27.06457937235097,2.05028715319968,0.15719083290849672,0.10225724636928653,0.7983094479102772,False
Tie-2,Group,20,1.0,18.0,31.884237073703332,2.342538761476248e-05,0.639164572700486,0.0007964631789019244,True
Tie-2,TimePoint,20,1.5035877429083873,27.06457937235097,17.379568386708087,5.3304241992733554e-05,0.49123178091786723,0.00034324053453614037,True
Flt-1,TimePoint:Group,20,1.147419432601384,20.65354978682491,1.1761939620091872,0.2993306994860694,0.06133615274957051,0.7983094479102772,False
Flt-1,Group,20,1.0,18.0,8.231769189585172,0.010203245569283577,0.3138091498934597,0.057818391559273596,False
Flt-1,TimePoint,20,1.147419432601384,20.65354978682491,19.60402521089299,0.0001493121535401256,0.5213278392658393,0.0005873283176472379,True
MIP-1β,TimePoint:Group,20,1.7824947083125957,32.08490474962672,0.06254679831283512,0.922809369040136,0.0034627895507336436,0.9687061373293648,False
MIP-1β,Group,20,1.0,18.0,2.8387570936018363,0.10927431398627271,0.13622487564161995,0.2322079172208295,False
MIP-1β,TimePoint,20,1.7824947083125957,32.08490474962672,1.305879705003215,0.28243674726655815,0.06764155402174135,0.41751519161143374,False
IL-12p70,TimePoint:Group,20,1.3870864723303935,24.967556501947083,0.05758248767557647,0.8849095209856759,0.003188825952470487,0.9687061373293648,False
IL-12p70,Group,20,1.0,18.0,0.09164349833210353,0.7655686406751487,0.005065515376784441,0.7836075344909852,False
IL-12p70,TimePoint,20,1.3870864723303935,24.967556501947083,0.9551885925997389,0.36759538676162806,0.05039193294930614,0.4628978944405687,False
CRP,TimePoint:Group,20,1.530139021611252,27.542502389002536,0.9267126794914384,0.3842785124616609,0.048963213801813746,0.7983094479102772,False
CRP,Group,20,1.0,18.0,8.811316011879228,0.00823177121925964,0.32864168278704475,0.057818391559273596,False
CRP,TimePoint,20,1.530139021611252,27.542502389002536,1.2376818139963797,0.29615620732568354,0.06433632835614861,0.4195546270447183,False
IFN-γ,TimePoint:Group,20,1.9830860862668434,35.69554955280318,1.9062089665894784,0.16376154439497595,0.09575951753489848,0.7983094479102772,False
IFN-γ,Group,20,1.0,18.0,1.0721843028427045,0.31416425085765615,0.056217173964856024,0.44506602204834617,False
IFN-γ,TimePoint,20,1.9830860862668434,35.69554955280318,0.875338651438137,0.42466385919036065,0.04637472564612471,0.5156632575882951,False
VEGF-C,TimePoint:Group,20,1.457948786801869,26.24307816243364,2.279724637244429,0.13412961695859732,0.11241398381995947,0.7983094479102772,False
VEGF-C,Group,20,1.0,18.0,0.6130866223382389,0.4438084933628098,0.03293847145171781,0.5389103133691262,False
VEGF-C,TimePoint,20,1.457948786801869,26.24307816243364,4.392457273711379,0.032772898692609076,0.19615789459909339,0.0696424097217943,False
PlGF,TimePoint:Group,20,1.9149647210007443,34.469364978013395,0.8809346516169229,0.41940752305100887,0.046657364578160936,0.7983094479102772,False
PlGF,Group,20,1.0,18.0,2.426573492294112,0.13670138436581666,0.11879493607723941,0.25821372602432036,False
PlGF,TimePoint,20,1.9149647210007443,34.469364978013395,19.883183666410744,2.3813932173525402e-06,0.5248551399876203,5.085756277473408e-05,True
IL-13,TimePoint:Group,20,1.8536736657336723,33.3661259832061,0.11094740910715804,0.8814826647395485,0.006125985935521393,0.9687061373293648,False
IL-13,Group,20,1.0,18.0,1.494704382547657,0.2372554401041899,0.07667232871126625,0.4033342481771228,False
IL-13,TimePoint,20,1.8536736657336723,33.3661259832061,0.2571011494017125,0.7582697819014721,0.01408225475105821,0.7812476540803046,False
ICAM-1,TimePoint:Group,20,1.6422965381933816,29.56133768748087,0.5754640993987316,0.5359336308974585,0.0309797965918579,0.8405352686288653,False
ICAM-1,Group,20,1.0,18.0,6.610951679168876,0.01922821224240226,0.2686182869053575,0.08171990203020961,False
ICAM-1,TimePoint,20,1.6422965381933816,29.56133768748087,13.534335154960116,0.0001554692605536806,0.42919361034416054,0.0005873283176472379,True
IL-10,TimePoint:Group,20,1.874811552583021,33.74660794649438,1.25131311082229,0.29726199922346824,0.06499884468238448,0.7983094479102772,False
IL-10,Group,20,1.0,18.0,3.6467005386655162,0.07224982194719212,0.16846449795670934,0.17546385330032374,False
IL-10,TimePoint,20,1.874811552583021,33.74660794649438,1.0889691825674968,0.3446096218336699,0.05704703968834365,0.4628978944405687,False
IL-15,TimePoint:Group,20,1.7350057808140609,31.230104054653097,0.039393607163511826,0.944926476541458,0.00218375451089822,0.9687061373293648,False
IL-15,Group,20,1.0,18.0,1.2577629266754813,0.2768141392296221,0.06531199555547816,0.4250348210290607,False
IL-15,TimePoint,20,1.7350057808140609,31.230104054653097,15.446732865752706,4.358096934271341e-05,0.4618308439198605,0.00034324053453614037,True
IL-12/IL-23p40,TimePoint:Group,20,1.862391452677375,33.52304614819275,0.15053554430267677,0.8465275291385963,0.008293724663674113,0.9687061373293648,False
IL-12/IL-23p40,Group,20,1.0,18.0,1.7921018424160462,0.1973338517641736,0.09054631270012109,0.3531237347358896,False
IL-12/IL-23p40,TimePoint,20,1.862391452677375,33.52304614819275,7.404801305506263,0.0026356195402134934,0.29147251405195357,0.0068931587974814445,True
GM-CSF,TimePoint:Group,20,1.827468726758315,32.89443708164967,0.6368979238175702,0.5216701119040942,0.03417403080818658,0.8405352686288653,False
GM-CSF,Group,20,1.0,18.0,0.468333317388471,0.5024717547629701,0.025358721295522732,0.5694679887313662,False
GM-CSF,TimePoint,20,1.827468726758315,32.89443708164967,1.0176993708848316,0.36643359727632085,0.05351327471517821,0.4628978944405687,False
TNF-β,TimePoint:Group,20,1.4705989249643392,26.470780649358105,0.2963429909058105,0.6783798069000769,0.016196842781812062,0.9225965373841045,False
TNF-β,Group,20,1.0,18.0,1.2382944163450007,0.28044098384488386,0.06436612256505111,0.4250348210290607,False
TNF-β,TimePoint,20,1.4705989249643392,26.470780649358105,0.3491750558527101,0.6430106350877158,0.01902946888837578,0.6831987997806981,False
TARC,TimePoint:Group,20,1.4029524067207793,25.253143320974026,0.8843014145945023,0.3908023092892775,0.04682733002297245,0.7983094479102772,False
TARC,Group,20,1.0,18.0,2.8900585000466075,0.10634175214533048,0.13834611808483732,0.2322079172208295,False
TARC,TimePoint,20,1.4029524067207793,25.253143320974026,3.141770596976499,0.07583600047270077,0.14860489487223014,0.13570652716167506,False
VEGF-D,TimePoint:Group,20,1.6462527049625924,29.63254868932666,4.229577144963376,0.030679420093172434,0.19026799823413126,0.7983094479102772,False
