Protein,Effect,N,num_df,den_df,F_statistic,p_value_raw,Partial_Eta_Squared,p_value_FDR,Significant_FDR
VEGF-D,Group,20,1.0,18.0,5.440306381392472,0.031485892418116404,0.2320919484956532,0.11894670469066197,False
VEGF-D,TimePoint,20,1.6462527049625924,29.63254868932666,15.545508947650001,6.057185903578948e-05,0.4634155043499206,0.00034324053453614037,True
IL-2,TimePoint:Group,20,1.5029622364936543,27.05332025688578,0.0228484226702922,0.9494625700047582,0.0012677475909719127,0.9687061373293648,False
IL-2,Group,20,1.0,18.0,0.0777062433642662,0.7836075344909852,0.004298457023151906,0.7836075344909852,False
IL-2,TimePoint,20,1.5029622364936543,27.05332025688578,0.43703947487026806,0.5942341895188525,0.02370442800569766,0.651740723988419,False
IP-10,TimePoint:Group,20,1.832397594542099,32.98315670175778,0.5937846244422798,0.5438757620539717,0.03193457579699648,0.8405352686288653,False
IP-10,Group,20,1.0,18.0,0.2834317772093764,0.6009714408699354,0.015502110362162926,0.6591299674057356,False
IP-10,TimePoint,20,1.832397594542099,32.98315670175778,11.33913000895775,0.00025457689181505655,0.38648487550570565,0.0007868740292465384,True
IL-7,TimePoint:Group,20,1.818888095553221,32.73998571995798,0.8666204893151929,0.42046205095010686,0.04593406062341634,0.7983094479102772,False
IL-7,Group,20,1.0,18.0,1.2012318395141408,0.2875235554020117,0.06256014455500351,0.4250348210290607,False
IL-7,TimePoint,20,1.818888095553221,32.73998571995798,3.0536233060126676,0.06525827019100768,0.1450402746182216,0.12326562147190338,False
Eotaxin,TimePoint:Group,20,1.9596410524770405,35.273538944586726,2.231736660477865,0.12320258135287045,0.11030870448395569,0.7983094479102772,False
Eotaxin,Group,20,1.0,18.0,11.917209415886443,0.0028432722169720393,0.398339606151844,0.03222375179234978,True
Eotaxin,TimePoint,20,1.9596410524770405,35.273538944586726,12.474866709295254,8.78227156156219e-05,0.409349344438322,0.00042656747584730637,True
IL-6,TimePoint:Group,20,1.8975190500039227,34.15534290007061,0.7415366405572359,0.4772481438262772,0.039566480314774666,0.8405352686288653,False
IL-6,Group,20,1.0,18.0,0.21287405880176535,0.650050680424664,0.011688109087807003,0.6906788479512055,False
IL-6,TimePoint,20,1.8975190500039227,34.15534290007061,3.171190000179444,0.056963784977809594,0.14978799019575967,0.11392756995561919,False
IL-4,TimePoint:Group,20,1.4506571965082116,26.11182953714781,0.011144143891938723,0.9671402697214048,0.0006187360338081577,0.9687061373293648,False
IL-4,Group,20,1.0,18.0,3.757461456233065,0.06841755299315351,0.17269760370673343,0.17546385330032374,False
IL-4,TimePoint,20,1.4506571965082116,26.11182953714781,0.08529510656029267,0.8595574512904258,0.00471626844116868,0.8595574512904258,False
MCP-1,TimePoint:Group,20,1.832018428757335,32.97633171763203,0.9681175383479925,0.3835687265558647,0.051039199667059304,0.7983094479102772,False
MCP-1,Group,20,1.0,18.0,2.6763869148031763,0.11921170493868531,0.12944171173770344,0.23842340987737062,False
MCP-1,TimePoint,20,1.832018428757335,32.97633171763203,10.08835522097427,0.0005255640414724064,0.35916503980414793,0.0014890981175051513,True
VEGF,TimePoint:Group,20,1.059480917400371,19.07065651320668,0.7274417390387349,0.4120423465920876,0.038843625796593936,0.7983094479102772,False
VEGF,Group,20,1.0,18.0,0.6802058351027598,0.42031158935504676,0.036413187365663624,0.5292812606693181,False
VEGF,TimePoint,20,1.059480917400371,19.07065651320668,0.6255843021929196,0.44760923577079703,0.03358736520922274,0.5247832419381758,False
